Call Failure,Complains,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn,Customer_Engagement,Average_Call_Duration,Revenue_Per_Month
1,0,33,0,2725,16,0,10,3,1,1,30,109.64,0,26,160.2941176470588,3.224705882352941
9,1,34,0,2875,35,0,12,2,1,2,25,130.95,1,47,79.86111111111111,3.741428571428571
9,0,35,0,2153,38,2,27,3,1,2,30,95.64,1,67,55.205128205128204,2.6566666666666667
1,0,35,0,1553,19,0,2,3,1,1,30,62.88,0,21,77.65,1.7466666666666668
3,0,32,0,6670,91,0,18,4,1,1,45,169.025,0,109,72.5,5.121969696969697
0,0,35,0,513,1,0,3,4,1,2,45,12.85,1,4,256.5,0.35694444444444445
0,0,35,0,0,0,0,0,4,1,1,45,0.0,0,0,0.0,0.0
25,0,30,2,15960,232,0,76,2,1,1,25,728.64,0,308,68.49785407725322,23.504516129032258
6,0,33,2,6850,110,239,29,2,2,1,25,1388.7,0,378,61.711711711711715,40.84411764705882
2,0,35,0,3603,76,0,24,2,1,1,25,165.555,0,100,46.79220779220779,4.59875
3,0,34,0,1550,38,6,16,3,1,2,30,87.52,0,60,39.743589743589745,2.5005714285714284
6,0,35,0,2665,47,143,19,2,1,1,25,765.54,0,209,55.520833333333336,21.265
4,0,26,0,1200,30,161,7,2,2,1,25,779.85,0,198,38.70967741935484,28.883333333333333
4,0,25,0,1453,33,0,64,4,1,1,45,37.15,0,97,42.73529411764706,1.4288461538461539
11,0,26,0,585,19,0,3,2,1,2,25,27.18,0,22,29.25,1.0066666666666666
0,0,25,0,710,4,0,1,4,1,2,45,17.85,0,5,142.0,0.6865384615384615
10,0,24,0,1110,26,0,9,2,1,1,25,51.12,0,35,41.111111111111114,2.0448
2,0,24,0,3110,55,0,19,3,1,1,30,126.6,0,74,55.535714285714285,5.064
2,0,17,0,1580,20,0,10,2,1,1,25,72.0,0,30,75.23809523809524,4.0
16,0,16,0,6278,135,53,38,1,2,1,15,644.215,0,226,46.161764705882355,37.895
12,0,14,0,8818,165,41,36,4,1,1,45,327.075,0,242,53.12048192771084,21.805
8,0,15,2,2738,39,0,15,3,1,1,30,111.08,0,54,68.45,6.9425
2,0,8,0,4275,34,183,6,3,1,1,30,904.36,0,223,122.14285714285714,100.48444444444445
3,1,8,0,1373,13,0,3,2,1,1,25,62.37,1,16,98.07142857142857,6.93
10,0,38,0,4560,72,14,20,3,1,1,30,241.28,0,106,62.465753424657535,6.1866666666666665
2,0,39,0,508,6,16,7,2,1,2,25,95.13,0,29,72.57142857142857,2.37825
12,0,37,0,2643,61,368,27,3,1,1,30,1580.16,0,456,42.62903225806452,41.58315789473684
12,0,38,0,4388,67,10,38,1,1,1,15,300.025,0,115,64.52941176470588,7.692948717948718
5,0,38,0,2583,59,11,36,1,1,1,15,205.81,0,106,43.05,5.277179487179487
13,0,38,1,3965,83,41,31,3,1,1,30,325.92,0,155,47.20238095238095,8.356923076923078
6,0,38,0,2550,40,294,21,3,1,1,30,1279.6,0,355,62.19512195121951,32.81025641025641
15,0,37,2,9305,122,153,46,3,1,1,30,989.08,0,321,75.65040650406505,26.02842105263158
9,0,38,0,13963,170,9,47,3,1,1,30,601.32,0,226,81.65497076023392,15.418461538461539
9,0,38,1,4705,84,11,28,3,1,1,30,235.56,0,123,55.35294117647059,6.04
8,0,38,0,6108,96,16,15,3,1,1,30,312.16,0,127,62.96907216494845,8.004102564102565
11,1,38,0,2428,55,17,20,3,1,2,30,167.32,0,92,43.357142857142854,4.2902564102564105
27,0,38,3,15330,226,63,35,3,1,1,30,874.24,0,324,67.5330396475771,22.416410256410256
6,0,38,1,3285,28,492,11,3,1,1,30,2100.52,0,531,113.27586206896552,53.85948717948718
11,0,37,0,15675,183,159,33,2,1,1,25,1429.11,0,375,85.19021739130434,37.60815789473684
5,0,37,1,6690,87,195,29,3,1,1,30,1051.08,0,311,76.02272727272727,27.659999999999997
2,0,37,0,1065,15,9,14,2,1,2,25,89.1,0,38,66.5625,2.344736842105263
4,0,38,0,900,15,22,11,3,1,2,30,124.6,0,48,56.25,3.1948717948717946
2,0,37,0,190,1,9,3,2,1,2,25,49.095,1,13,95.0,1.2919736842105263
5,0,37,0,7698,128,393,46,2,1,1,25,2120.67,0,567,59.674418604651166,55.807105263157894
9,0,37,1,11655,155,20,50,4,1,1,45,345.25,0,225,74.71153846153847,9.085526315789474
10,0,37,1,6908,76,117,40,2,1,1,25,840.78,0,233,89.71428571428571,22.12578947368421
25,1,33,0,1145,48,25,20,2,1,2,25,166.185,1,93,23.367346938775512,4.887794117647059
23,0,36,8,10625,94,10,45,5,1,1,55,175.785,0,149,111.84210526315789,4.750945945945946
15,0,36,1,6008,99,35,27,2,1,1,25,432.315,1,161,60.08,11.684189189189189
3,0,34,0,3030,23,9,17,3,1,1,30,158.12,0,49,126.25,4.517714285714286
11,1,35,0,3180,42,18,19,3,1,2,30,200.88,1,79,73.95348837209302,5.58
11,1,36,0,2458,45,43,34,3,1,2,30,272.12,1,122,53.43478260869565,7.3545945945945945
2,0,36,0,323,3,9,5,3,1,2,30,49.04,1,17,80.75,1.3254054054054054
3,0,36,0,1858,26,9,9,3,1,1,30,111.36,0,44,68.81481481481481,3.0097297297297296
5,0,33,1,6975,98,23,25,5,1,1,55,140.595,0,146,70.45454545454545,4.135147058823529
2,0,36,0,818,8,18,7,4,1,2,45,65.65,1,33,90.88888888888889,1.7743243243243245
2,0,36,1,528,5,13,5,5,1,1,55,27.495,0,23,88.0,0.7431081081081081
27,0,31,3,16265,239,9,83,2,1,1,25,783.18,0,331,67.77083333333333,24.474375
8,0,34,3,7155,117,280,36,2,2,1,25,1587.24,0,433,60.63559322033898,45.349714285714285
4,0,36,0,3908,83,11,31,2,1,1,25,229.095,0,125,46.523809523809526,6.191756756756757
5,0,35,0,1855,45,47,23,3,1,2,30,264.0,0,115,40.32608695652174,7.333333333333333
8,0,36,0,2970,54,184,26,2,1,1,25,964.08,0,264,54.0,26.056216216216217
6,1,27,1,1505,37,202,14,2,2,1,25,978.39,1,253,39.60526315789474,34.9425
6,0,26,0,1758,40,39,71,4,1,1,45,142.45,0,150,42.8780487804878,5.275925925925925
13,0,27,0,890,26,19,10,2,1,2,25,126.72,0,55,32.96296296296296,4.525714285714286
2,0,26,0,1015,11,30,6,4,1,2,45,100.65,0,47,84.58333333333333,3.727777777777778
12,0,25,0,1415,33,28,16,2,1,1,25,191.16,0,77,41.61764705882353,7.352307692307692
4,0,25,0,3415,62,17,26,3,1,1,30,207.08,0,105,54.20634920634921,7.964615384615385
4,0,18,0,1885,27,37,17,2,1,1,25,252.54,0,81,67.32142857142857,13.291578947368421
18,0,17,1,6582,142,94,45,2,2,1,25,725.58,0,281,46.02797202797203,40.31
14,0,15,0,9122,172,82,43,4,1,1,45,437.35,0,297,52.72832369942196,27.334375
10,0,16,3,3042,46,40,22,3,1,1,30,283.52,0,108,64.72340425531915,16.677647058823528
4,0,9,1,4580,41,224,13,3,1,1,30,1080.84,0,278,109.04761904761905,108.08399999999999
5,0,9,1,1677,20,9,10,3,1,1,30,103.88,1,39,79.85714285714286,10.388
6,0,38,0,4180,70,0,14,3,1,1,30,170.0,0,84,58.87323943661972,4.358974358974359
0,0,39,0,128,4,0,1,2,1,2,25,5.94,0,5,25.6,0.14850000000000002
8,0,37,0,2263,59,350,21,3,1,1,30,1492.88,0,430,37.71666666666667,39.28631578947369
8,0,38,0,4008,65,0,32,1,1,1,15,224.015,0,97,60.72727272727273,5.743974358974358
1,0,38,0,2203,57,0,30,1,1,1,15,124.3,0,87,37.98275862068966,3.187179487179487
9,0,38,1,3585,81,23,25,3,1,1,30,238.64,0,129,43.71951219512195,6.118974358974358
2,0,38,0,2170,38,276,15,3,1,1,30,1192.32,0,329,55.64102564102564,30.572307692307692
11,0,37,2,8925,120,135,40,3,1,1,30,901.8,0,295,73.7603305785124,23.73157894736842
5,0,38,0,13583,168,0,41,3,1,1,30,550.04,0,209,80.37278106508876,14.103589743589742
5,0,38,1,4325,82,0,22,3,1,1,30,176.28,0,104,52.10843373493976,4.5200000000000005
4,0,38,0,5728,94,0,9,3,1,1,30,232.88,0,103,60.294736842105266,5.971282051282051
7,0,38,0,2048,53,0,14,3,1,2,30,84.04,0,67,37.925925925925924,2.154871794871795
23,0,38,3,14950,224,45,29,3,1,1,30,786.96,0,298,66.44444444444444,20.17846153846154
2,0,38,1,2905,26,474,5,3,1,1,30,2013.24,0,505,107.5925925925926,51.621538461538464
7,0,37,0,15295,181,141,27,2,1,1,25,1330.92,0,349,84.03846153846153,35.02421052631579
1,0,37,1,6310,85,177,23,3,1,1,30,963.8,0,285,73.37209302325581,25.36315789473684
0,0,37,0,685,13,0,8,2,1,2,25,31.41,0,21,48.92857142857143,0.8265789473684211
0,0,38,0,520,13,4,5,3,1,2,30,37.32,0,22,37.142857142857146,0.9569230769230769
1,0,37,0,7318,126,375,40,2,1,1,25,2022.48,0,541,57.62204724409449,53.22315789473684
5,0,37,1,11275,153,2,44,4,1,1,45,290.7,0,199,73.21428571428571,7.6499999999999995
6,0,37,1,6528,74,99,34,2,1,1,25,742.59,0,207,87.04,19.541842105263157
21,0,33,0,765,46,7,14,2,1,2,25,67.995,1,67,16.27659574468085,1.9998529411764707
19,0,36,8,10245,92,0,39,5,2,1,55,155.055,0,131,110.16129032258064,4.190675675675676
11,0,36,1,5628,97,17,21,2,1,1,25,334.125,1,135,57.42857142857143,9.030405405405405
0,0,34,0,2650,21,0,11,3,1,1,30,106.84,0,32,120.45454545454545,3.0525714285714285
7,1,35,0,2800,40,0,13,3,1,2,30,113.6,1,53,68.29268292682927,3.1555555555555554
7,0,36,0,2078,43,25,28,3,1,2,30,184.84,1,96,47.22727272727273,4.995675675675676
0,0,36,0,1478,24,0,3,3,1,1,30,60.08,0,27,59.12,1.6237837837837836
1,0,33,1,6595,96,5,19,5,1,1,55,107.865,0,120,67.98969072164948,3.1725
0,0,36,0,438,6,0,1,4,1,2,45,11.1,1,7,62.57142857142857,0.3
0,0,36,1,0,0,0,0,5,1,1,55,0.0,0,0,0.0,0.0
23,0,31,3,15885,237,0,77,2,1,1,25,725.49,0,314,66.74369747899159,22.6715625
4,0,34,3,6775,115,262,30,2,2,1,25,1489.05,0,407,58.4051724137931,42.544285714285714
0,0,36,0,3528,81,0,25,2,1,1,25,162.405,0,106,43.02439024390244,4.389324324324324
1,0,35,0,1475,43,29,17,3,1,2,30,176.72,0,89,33.52272727272727,4.908888888888889
4,0,36,0,2590,52,166,20,2,1,1,25,865.89,0,238,48.867924528301884,23.40243243243243
2,0,27,1,1125,35,184,8,2,2,1,25,880.2,0,227,31.25,31.435714285714287
2,0,26,0,1378,38,21,65,4,1,1,45,87.9,0,124,35.333333333333336,3.255555555555556
9,0,27,0,510,24,1,4,2,1,2,25,28.53,0,29,20.4,1.0189285714285714
0,0,26,0,635,9,12,1,4,1,2,45,46.1,0,22,63.5,1.7074074074074075
8,0,25,0,1035,31,10,10,2,1,1,25,92.97,0,51,32.34375,3.5757692307692306
0,0,25,0,3035,60,0,20,3,1,1,30,123.8,0,80,49.75409836065574,4.7615384615384615
0,0,18,0,1505,25,19,11,2,1,1,25,154.35,0,55,57.88461538461539,8.123684210526315
14,0,17,1,6202,140,76,39,2,2,1,25,627.39,0,255,43.98581560283688,34.855
10,0,15,0,8742,170,64,37,4,1,1,45,382.8,0,271,51.12280701754386,23.925
6,0,16,3,2662,44,22,16,3,1,1,30,196.24,0,82,59.15555555555556,11.543529411764707
0,0,9,1,4200,39,206,7,3,1,1,30,993.56,0,252,105.0,99.356
1,0,9,1,1297,18,0,4,3,1,1,30,52.6,1,22,68.26315789473684,5.26
6,0,33,0,4370,65,0,16,2,1,1,25,199.575,0,81,66.21212121212122,5.86985294117647
0,0,34,0,318,4,0,3,2,1,2,25,14.49,0,7,63.6,0.414
8,0,32,0,2453,54,351,23,2,1,1,25,1692.315,0,428,44.6,51.282272727272726
8,0,33,0,4198,60,0,34,1,1,1,15,234.19,0,94,68.81967213114754,6.887941176470588
1,0,33,0,2393,52,0,32,1,1,1,15,134.475,0,84,45.15094339622642,3.9551470588235293
9,0,33,0,3775,76,24,27,2,1,1,25,281.295,0,127,49.02597402597402,8.273382352941177
2,0,33,0,2360,33,277,17,3,1,1,30,1203.72,0,327,69.41176470588235,35.40352941176471
11,0,32,1,9115,115,136,42,3,1,1,30,913.2,0,293,78.57758620689656,27.672727272727276
5,0,33,0,13773,163,0,43,3,1,1,30,557.44,0,206,83.98170731707317,16.39529411764706
5,0,33,0,4515,77,0,24,3,1,1,30,183.68,0,101,57.88461538461539,5.402352941176471
4,0,33,0,5918,89,0,11,2,1,1,25,270.315,0,100,65.75555555555556,7.950441176470588
7,1,33,0,2238,48,0,16,3,1,2,30,91.44,0,64,45.673469387755105,2.6894117647058824
23,0,33,2,15140,219,46,31,3,1,1,30,798.36,0,296,68.81818181818181,23.481176470588235
2,0,33,0,3095,21,475,7,3,1,1,30,2024.64,0,503,140.6818181818182,59.54823529411765
7,0,32,0,15485,176,142,29,2,1,1,25,1343.745,0,347,87.48587570621469,40.719545454545454
1,0,32,0,6500,80,178,25,3,1,1,30,975.2,0,283,80.24691358024691,29.551515151515154
0,0,32,0,875,8,0,10,2,1,2,25,39.735,0,18,97.22222222222223,1.204090909090909
0,0,33,0,710,8,5,7,2,1,2,25,54.81,0,20,78.88888888888889,1.6120588235294118
0,0,32,0,0,0,0,0,2,1,2,25,0.0,1,0,0.0,0.0
1,0,32,0,7508,121,376,42,2,1,1,25,2035.305,0,539,61.540983606557376,61.675909090909094
5,0,32,0,11465,148,3,46,3,1,1,30,476.52,0,197,76.94630872483222,14.44
6,0,32,0,6718,69,100,36,2,1,1,25,755.415,0,205,95.97142857142858,22.891363636363636
21,1,28,0,955,41,8,16,2,1,2,25,80.82,1,65,22.738095238095237,2.7868965517241375
19,0,31,7,10435,87,0,41,4,1,1,45,263.05,0,128,118.57954545454545,8.2203125
11,0,31,0,5818,92,18,23,2,1,1,25,346.95,1,133,62.55913978494624,10.8421875
0,0,29,0,2840,16,0,13,3,1,1,30,114.24,0,29,167.05882352941177,3.808
7,1,30,0,2990,35,1,15,2,1,2,25,140.625,1,51,83.05555555555556,4.536290322580645
7,1,31,0,2268,38,26,30,3,1,2,30,196.24,1,94,58.15384615384615,6.1325
0,1,31,0,0,0,0,0,2,1,2,25,0.0,1,0,0.0,0.0
0,0,31,0,1668,19,0,5,3,1,1,30,67.48,0,24,83.4,2.10875
1,0,28,0,6785,91,6,21,4,1,1,45,186.9,0,118,73.75,6.444827586206896
0,0,31,0,628,1,1,3,4,1,2,45,18.225,1,5,314.0,0.56953125
0,0,31,0,338,5,0,1,4,1,1,45,8.575,0,6,56.333333333333336,0.26796875
23,0,26,2,16075,232,0,79,2,1,1,25,733.815,0,311,68.99141630901288,27.178333333333335
4,0,29,2,6965,110,263,32,2,2,1,25,1501.875,0,405,62.747747747747745,50.0625
0,0,31,0,3718,76,0,27,2,1,1,25,170.73,0,103,48.285714285714285,5.3353125
1,0,30,0,1665,38,30,19,3,1,2,30,188.12,0,87,42.69230769230769,6.0683870967741935
4,0,31,0,2780,47,167,22,2,1,1,25,878.715,0,236,57.916666666666664,27.45984375
2,0,22,0,1315,30,185,10,2,2,1,25,893.025,0,225,42.41935483870968,38.827173913043474
2,0,21,0,1568,33,22,67,4,1,1,45,95.025,0,122,46.11764705882353,4.319318181818182
9,0,22,0,700,19,2,6,2,1,2,25,41.355,0,27,35.0,1.7980434782608694
0,0,21,0,825,4,13,2,4,1,2,45,53.225,0,19,165.0,2.419318181818182
8,0,20,0,1225,26,11,12,2,1,1,25,105.795,0,49,45.370370370370374,5.037857142857143
0,0,20,0,3225,55,0,22,3,1,1,30,131.2,0,77,57.589285714285715,6.247619047619047
0,0,13,0,1695,20,20,13,2,1,1,25,167.175,0,53,80.71428571428571,11.94107142857143
14,0,12,0,6392,135,77,41,1,2,1,15,782.485,0,253,47.0,60.191153846153846
10,0,10,0,8932,165,65,39,4,1,1,45,389.925,0,269,53.80722891566265,35.44772727272727
6,0,11,2,2852,39,23,18,3,1,1,30,207.64,0,80,71.3,17.30333333333333
0,0,4,0,4390,34,207,9,3,1,1,30,1004.96,0,250,125.42857142857143,200.99200000000002
1,0,4,0,1487,13,0,6,2,1,1,25,67.5,1,19,106.21428571428571,13.5
10,0,43,1,4370,77,13,18,3,1,1,30,229.88,0,108,56.02564102564103,5.224545454545455
2,0,44,0,318,11,15,5,3,1,2,30,73.16,0,31,26.5,1.6257777777777778
12,0,42,1,2453,66,367,25,3,1,1,30,1568.76,0,458,36.61194029850746,36.48279069767442
12,0,43,1,4198,72,9,36,1,1,1,15,284.35,0,117,57.50684931506849,6.4625
5,0,43,1,2393,64,10,34,2,1,1,25,155.565,0,108,36.815384615384616,3.535568181818182
13,0,43,2,3775,88,40,29,3,1,1,30,314.52,0,157,42.41573033707865,7.1481818181818175
6,0,43,1,2360,45,293,19,4,1,1,45,792.625,0,357,51.30434782608695,18.014204545454547
15,0,42,3,9115,127,152,44,3,1,1,30,977.68,0,323,71.2109375,22.73674418604651
9,0,43,1,13773,175,8,45,3,1,1,30,589.92,0,228,78.25568181818181,13.407272727272726
9,0,43,2,4515,89,10,26,3,1,1,30,224.16,0,125,50.166666666666664,5.094545454545455
8,0,43,1,5918,101,15,13,3,1,1,30,300.76,0,129,58.01960784313726,6.835454545454545
11,1,43,0,2238,60,16,18,3,1,2,30,155.92,0,94,36.68852459016394,3.5436363636363635
27,0,43,4,15140,231,62,33,3,1,1,30,862.84,0,326,65.25862068965517,19.61
6,0,43,2,3095,33,491,9,4,1,1,45,1305.7,0,533,91.02941176470588,29.675
11,0,42,1,15485,188,158,31,2,1,1,25,1416.285,0,377,81.93121693121694,32.93686046511628
5,0,42,2,6500,92,194,27,3,1,1,30,1039.68,0,313,69.89247311827957,24.178604651162793
2,0,42,0,875,20,8,12,2,1,2,25,76.275,0,40,41.666666666666664,1.7738372093023258
4,0,43,0,710,20,21,9,3,1,2,30,113.2,0,50,33.80952380952381,2.5727272727272728
0,0,42,0,0,0,8,0,2,1,2,25,36.0,1,8,0.0,0.8372093023255814
5,0,42,1,7508,133,392,44,3,1,1,30,1873.64,0,569,56.02985074626866,43.57302325581396
9,0,42,2,11465,160,19,48,4,1,1,45,338.125,0,227,71.2111801242236,7.863372093023256
10,0,42,2,6718,81,116,38,2,1,1,25,827.955,0,235,81.92682926829268,19.254767441860466
25,1,38,0,955,53,24,18,3,1,2,30,136.32,1,95,17.685185185185187,3.4953846153846153
23,0,41,9,10435,99,9,43,5,2,1,55,171.51,0,151,104.35,4.083571428571428
15,0,41,2,5818,104,34,25,3,1,1,30,372.88,0,163,55.40952380952381,8.878095238095238
3,0,39,1,2840,28,8,15,3,1,1,30,146.72,0,51,97.93103448275862,3.668
11,0,40,0,2990,47,17,17,3,1,2,30,189.48,1,81,62.291666666666664,4.621463414634146
11,1,41,0,2268,50,42,32,4,1,2,45,162.95,1,124,44.470588235294116,3.8797619047619043
2,0,41,0,133,8,8,3,3,1,2,30,37.64,1,19,14.777777777777779,0.8961904761904762
3,0,41,1,1668,31,8,7,4,1,1,45,62.475,0,46,52.125,1.4875
5,0,38,2,6785,103,22,23,5,1,1,55,136.32,0,148,65.24038461538461,3.4953846153846153
2,0,41,0,628,13,17,5,4,1,2,45,58.525,1,35,44.857142857142854,1.3934523809523809
2,0,41,2,338,10,12,3,5,1,1,55,23.22,0,25,30.727272727272727,0.5528571428571428
27,0,36,4,16075,244,8,81,2,1,1,25,770.355,0,333,65.61224489795919,20.820405405405406
8,0,39,4,6965,122,279,34,3,2,1,30,1399.48,0,435,56.6260162601626,34.987
4,0,41,1,3718,88,10,29,3,1,1,30,192.24,0,127,41.7752808988764,4.577142857142857
5,0,40,0,1665,50,46,21,4,1,2,45,157.875,0,117,32.64705882352941,3.850609756097561
8,0,41,1,2780,59,183,24,2,1,1,25,951.255,0,266,46.333333333333336,22.64892857142857
6,1,32,2,1315,42,201,12,3,2,1,30,858.28,1,255,30.58139534883721,26.008484848484848
6,0,31,1,1568,45,38,69,5,1,1,55,81.195,0,152,34.08695652173913,2.53734375
13,0,32,0,700,31,18,8,3,1,2,30,101.24,0,57,21.875,3.067878787878788
2,0,31,0,825,16,29,4,4,1,2,45,93.525,0,49,48.529411764705884,2.92265625
12,0,30,1,1225,38,27,14,2,1,1,25,178.335,0,79,31.41025641025641,5.752741935483871
4,0,30,1,3225,67,16,24,3,1,1,30,195.68,0,107,47.4264705882353,6.312258064516129
4,0,23,1,1695,32,36,15,3,1,1,30,213.08,0,83,51.36363636363637,8.878333333333334
18,0,22,2,6392,147,93,43,2,2,1,25,712.755,0,283,43.189189189189186,30.989347826086956
14,0,20,1,8932,177,81,41,5,1,1,55,258.135,0,299,50.17977528089887,12.292142857142856
10,0,21,4,2852,51,39,20,3,1,1,30,272.12,0,110,54.84615384615385,12.36909090909091
4,0,14,2,4390,46,223,11,3,1,1,30,1069.44,0,280,93.40425531914893,71.296
5,1,14,2,1487,25,8,8,3,1,1,30,92.48,1,41,57.19230769230769,6.165333333333334
14,0,39,1,5080,82,30,17,3,1,1,30,326.48,0,129,61.204819277108435,8.162
6,0,40,0,1028,16,15,4,3,1,2,30,101.76,0,35,60.470588235294116,2.481951219512195
16,0,38,1,3163,71,367,24,3,1,1,30,1597.36,0,462,43.93055555555556,40.95794871794872
16,0,39,1,4908,77,9,35,1,1,1,15,323.675,0,121,62.92307692307692,8.091875
9,0,39,1,3103,69,10,33,2,1,1,25,187.74,0,112,44.32857142857143,4.6935
17,0,39,2,4485,93,40,28,3,1,1,30,343.12,0,161,47.712765957446805,8.578
10,0,39,1,3070,50,293,18,3,1,1,30,1296.8,0,361,60.19607843137255,32.42
19,0,38,3,9825,132,152,43,3,1,1,30,1006.28,0,327,73.87218045112782,25.80205128205128
13,0,39,1,14483,180,8,44,3,1,1,30,618.52,0,232,80.01657458563535,15.463
13,0,39,2,5225,94,10,25,3,1,1,30,252.76,0,129,55.0,6.319
12,0,39,1,6628,106,15,12,3,1,1,30,329.36,0,133,61.94392523364486,8.234
15,0,39,0,2948,65,16,17,3,1,2,30,184.52,0,98,44.666666666666664,4.613
31,1,39,4,15850,236,62,32,3,1,1,30,891.44,0,330,66.87763713080169,22.286
10,0,39,2,3805,38,491,8,3,1,1,30,2117.72,0,537,97.56410256410257,52.943
15,0,38,1,16195,193,158,30,2,1,1,25,1448.46,0,381,83.47938144329896,37.14
9,0,38,2,7210,97,194,26,3,1,1,30,1068.28,0,317,73.57142857142857,27.391794871794872
6,0,38,0,1585,25,8,11,2,1,2,25,108.45,0,44,60.96153846153846,2.7807692307692307
8,0,39,0,1420,25,21,8,3,1,2,30,141.8,0,54,54.61538461538461,3.5450000000000004
6,0,38,0,710,11,8,2,2,1,2,25,68.445,1,21,59.166666666666664,1.755
9,0,38,1,8218,138,392,43,3,1,1,30,1902.24,0,573,59.12230215827338,48.77538461538462
13,0,38,2,12175,165,19,47,4,1,1,45,356.0,0,231,73.3433734939759,9.128205128205128
14,0,38,2,7428,86,116,37,2,1,1,25,860.13,0,239,85.37931034482759,22.054615384615385
29,1,34,0,1665,58,24,17,3,1,2,30,164.92,1,99,28.220338983050848,4.712
27,0,37,9,11145,104,9,42,5,2,1,55,182.235,0,155,106.14285714285714,4.795657894736842
19,0,37,2,6528,109,34,24,2,1,1,25,451.665,0,167,59.345454545454544,11.885921052631579
7,0,35,1,3550,33,8,14,3,1,1,30,175.32,0,55,104.41176470588235,4.87
15,1,36,0,3700,52,17,16,3,1,2,30,218.08,1,85,69.81132075471699,5.894054054054054
15,1,37,0,2978,55,42,31,3,1,2,30,289.32,1,128,53.17857142857143,7.613684210526316
6,0,37,0,843,13,8,2,3,1,2,30,66.24,1,23,60.214285714285715,1.743157894736842
7,0,37,1,2378,36,8,6,4,1,1,45,80.35,0,50,64.27027027027027,2.1144736842105263
9,0,34,2,7495,108,22,22,5,1,1,55,147.045,0,152,68.76146788990826,4.201285714285714
6,1,37,0,1338,18,17,4,4,1,2,45,76.4,1,39,70.42105263157895,2.0105263157894737
6,0,37,2,1048,15,12,2,5,1,1,55,33.945,0,29,65.5,0.8932894736842105
31,1,32,4,16785,249,8,80,2,1,1,25,802.53,0,337,67.14,24.319090909090907
12,1,35,4,7675,127,279,33,3,2,1,30,1428.08,0,439,59.9609375,39.66888888888889
8,0,37,1,4428,93,10,28,3,1,1,30,220.84,0,131,47.1063829787234,5.811578947368421
9,0,36,0,2375,55,46,20,3,1,2,30,281.2,0,121,42.410714285714285,7.6
12,0,37,1,3490,64,183,23,2,1,1,25,983.43,0,270,53.69230769230769,25.879736842105263
10,0,28,2,2025,47,201,11,3,2,1,30,886.88,0,259,42.1875,30.58206896551724
10,0,27,1,2278,50,38,68,4,1,1,45,153.2,0,156,44.666666666666664,5.471428571428571
17,0,28,0,1410,36,18,7,3,1,2,30,129.84,0,61,38.108108108108105,4.477241379310345
6,0,27,0,1535,21,29,3,4,1,2,45,111.4,0,53,69.77272727272727,3.9785714285714286
16,0,26,1,1935,43,27,13,2,1,1,25,210.51,0,83,43.97727272727273,7.796666666666666
8,0,26,1,3935,72,16,23,3,1,1,30,224.28,0,111,53.9041095890411,8.306666666666667
8,0,19,1,2405,37,36,14,2,1,1,25,271.89,0,87,63.28947368421053,13.5945
22,0,18,2,7102,152,93,42,2,2,1,25,744.93,0,287,46.41830065359477,39.206842105263156
18,0,16,1,9642,182,81,40,5,1,1,55,268.86,0,303,52.68852459016394,15.81529411764706
14,0,17,4,3562,56,39,19,3,2,1,30,300.72,0,114,62.49122807017544,16.706666666666667
8,0,10,2,5100,51,223,10,3,1,1,30,1098.04,0,284,98.07692307692308,99.82181818181817
9,0,10,2,2197,30,8,7,3,1,1,30,121.08,1,45,70.87096774193549,11.007272727272728
2,0,37,0,3660,60,0,17,2,1,1,25,167.4,0,77,60.0,4.405263157894737
4,0,36,0,1743,49,334,24,2,1,1,25,1583.64,0,407,34.86,42.80108108108109
4,0,37,0,3488,55,0,35,1,1,1,15,194.865,0,90,62.285714285714285,5.128026315789474
0,0,37,0,1683,47,0,33,1,1,1,15,95.15,0,80,35.0625,2.503947368421053
5,0,37,0,3065,71,7,28,3,1,1,30,153.44,0,106,42.56944444444444,4.037894736842105
0,0,37,0,1650,28,260,18,3,1,1,30,1107.12,0,306,56.89655172413793,29.13473684210526
7,0,36,1,8405,110,119,43,3,1,1,30,816.6,0,272,75.72072072072072,22.07027027027027
1,0,37,0,13063,158,0,44,3,1,1,30,528.84,0,202,82.15723270440252,13.916842105263159
1,0,37,0,3805,72,0,25,3,1,1,30,155.08,0,97,52.12328767123287,4.081052631578948
0,0,37,0,5208,84,0,12,2,1,1,25,238.14,0,96,61.27058823529412,6.266842105263158
3,0,37,0,1528,43,0,17,3,1,2,30,62.84,0,60,34.72727272727273,1.6536842105263159
19,0,37,2,14430,214,29,32,3,1,1,30,701.76,0,275,67.11627906976744,18.46736842105263
0,0,37,0,2385,16,458,8,3,1,1,30,1928.04,0,482,140.2941176470588,50.7378947368421
3,0,36,0,14775,171,125,30,2,1,1,25,1235.07,0,326,85.90116279069767,33.380270270270266
0,0,36,0,5790,75,161,26,3,1,1,30,878.6,0,262,76.1842105263158,23.745945945945948
0,0,36,0,165,3,0,11,2,1,2,25,7.56,0,14,41.25,0.20432432432432432
0,0,37,0,0,0,0,0,2,1,2,25,0.0,0,0,0.0,0.0
0,0,36,0,0,0,0,0,2,1,2,25,0.0,1,0,0.0,0.0
0,0,36,0,6798,116,359,43,2,1,1,25,1926.63,0,518,58.1025641025641,52.07108108108108
